id,name,description,price_100gm,purchase_unit_gram,purchase_unit_label
136,Brown sugar,"Sugar, brown",0.237319,100,1 standard portion (~100 g)
137,Honey,Honey,1.032151,100,1 standard portion (~100 g)
138,Molasses,Molasses,0.685092,100,1 standard portion (~100 g)
139,Cooking cream,"Cream, light (Includes coffee cream; table cream)",0.471868,250,1 standard package (~250 g)
140,Cream cheese,"Cream cheese, regular, plain",0.834458,250,1 standard package (~250 g)
141,Vegetable oil,"Vegetable oil, NFS (Includes oil, NFS; oil blend, NFS)",0.418343,250,1 standard bottle (~250 g)
142,Bamboo shoots,"Bamboo shoots, cooked (Includes with or without fat)",0.756021,250,approximately 250 g
144,Okra,"Okra, fresh, cooked, no added fat (Includes cooking spray)",0.974779,250,approximately 250 g
145,Potatoes,"Potato, NFS",0.294221,250,approximately 250 g
146,Eggs,"Egg, whole, cooked, NS as to cooking method",0.416484,600,1 dozen eggs (~600 g)
147,Lamb,"Lamb, NS as to cut, cooked (Includes mutton, NS as to cut)",2.671856,500,1 package (~500 g)
148,Scallops,"Scallops, cooked, NS as to cooking method",3.402135,500,1 package (~500 g)
149,Barley,"Barley, no added fat (Includes all liquids)",0.108533,500,1 bag (~500 g)
150,Bread,"Bread, NS as to major flour (Includes pre-sliced, commercial)",0.4049,500,1 loaf (~500 g)
151,Couscous,"Couscous, plain, cooked",0.461614,500,1 bag (~500 g)
152,Pasta,"Pasta, cooked (Includes macaroni, spaghetti, any shape of pasta; NS as to grain type; pasta, NFS)",0.256523,500,1 bag (~500 g)
153,Rice,"Rice, white, cooked, no added fat (Includes basmati or jasmine rice)",0.089641,500,1 bag (~500 g)
154,Flour (all purpose),"Flour, white, all purpose; U.S. city average, June 2026 ($0.544 per lb / 453.6 g)",0.11993,500,1 bag (~500 g)
155,Green peas,"Green peas, frozen, cooked, no added fat (Includes English peas; cooking spray)",0.443582,250,approximately 250 g
156,Coconut milk,Coconut milk (Includes Silk PureCoconut beverage; So Delicious),0.264438,400,1 can (~400 g)
157,Shrimp,"Shrimp, cooked, NS as to cooking method (Includes prawn)",2.368521,500,1 package (~500 g)
158,Fish,"Fish, NS as to type, raw",1.29255,500,1 package (~500 g)
159,Crab,"Crab, cooked, NS as to cooking method",7.449015,500,1 package (~500 g)
161,Peanuts,"Peanuts, unroasted (Includes raw)",0.466486,100,approximately 100 g
162,Oats,Extra-thick rolled oats; 2 lb package priced at $20.99,2.31372,500,1 bag (~500 g)
163,Oil,"Canola oil; priced using PP-NAP Vegetable oil, NFS as a neutral cooking-oil substitute",0.418343,250,1 standard bottle (~250 g)
164,Ground meat (beef/pork blend),"Stewed, seasoned, ground beef and pork, Mexican style (Includes Picadillo de carne de rez y puerco)",0.754915,500,1 package (~500 g)
165,Ham,"Ham, smoked or cured, cooked, lean and fat eaten",0.862722,500,1 package (~500 g)
166,Sausage,"Sausage, NFS (Includes not cold cut)",0.884445,500,1 package (~500 g)
