recipe_id,recipe_name,ingredient_id,ingredient_name,quantity,unit,weight_gram,source_ingredient_text,match_type
10,Easy Chicken Soup,154,Flour (all purpose),0.5,cup,60,½ cup (60 g) all-purpose flour,exact_name
10,Easy Chicken Soup,22,Chicken breast,1.25,pounds,566.99,"1¼ pounds (570 g) boneless, skinless chicken thighs, halved",normalized_or_substitute
10,Easy Chicken Soup,129,Butter,2,tablespoons,,2 tablespoons butter,exact_name
10,Easy Chicken Soup,133,Olive oil,1,tablespoon,,1 tablespoon olive oil,exact_name
10,Easy Chicken Soup,119,Onion,1,count,,"1 large yellow onion, diced",exact_name
10,Easy Chicken Soup,114,Garlic,3,cloves,,"3 large cloves garlic, minced",exact_name
10,Easy Chicken Soup,108,Basil,0.25,teaspoon,,¼ teaspoon basil,exact_name
10,Easy Chicken Soup,155,Green peas,0.75,cup,,¾ cup frozen peas,normalized_or_substitute
10,Easy Chicken Soup,94,Carrots,2,count,,"2 carrots, cut into small rounds",exact_name
10,Easy Chicken Soup,152,Pasta,1,cup,,"1 cup small pasta, like elbows or shells",exact_name
10,Easy Chicken Soup,106,Celery,2,stalks,,"2 celery stalks, chopped",exact_name
10,Easy Chicken Soup,120,Parsley,0.5,cup,,½ cup chopped fresh parsley,exact_name
11,Kung Pao Chicken,22,Chicken breast,1,lb,453.59,"1 lb boneless, skinless chicken meat, cut into 1-inch cubes",normalized_or_substitute
11,Kung Pao Chicken,153,Rice,2,tbsp,,2 tbsp sherry or rice wine,exact_name
11,Kung Pao Chicken,163,Oil,4,tbsp,,4 tbsp cooking oil,exact_name
11,Kung Pao Chicken,161,Peanuts,0.5,cup,,½ cup shelled peanuts,exact_name
11,Kung Pao Chicken,121,Chili pepper,5,count,,5__10 small dried red chile peppers,normalized_or_substitute
11,Kung Pao Chicken,114,Garlic,1,tsp,,1 tsp crushed garlic,exact_name
11,Kung Pao Chicken,122,Green bell pepper,1,count,,"1 green bell pepper, cut into ½-inch dice",exact_name
11,Kung Pao Chicken,122,Green bell pepper,1,count,,"1 red bell pepper, cut into ½-inch dice",normalized_or_substitute
11,Kung Pao Chicken,142,Bamboo shoots,1,can,141.75,"1 can (5 oz) sliced bamboo shoots (optional), drained",exact_name
11,Kung Pao Chicken,106,Celery,3,stalks,,"3 stalks celery, chopped",exact_name
11,Kung Pao Chicken,118,Green onions,4,pieces,,"4 green onions, cut into ½-inch pieces, including green tops",exact_name
11,Kung Pao Chicken,153,Rice,2,tbsp,,2 tbsp rice vinegar,exact_name
11,Kung Pao Chicken,134,Sesame oil,1,tsp,,1 tsp sesame oil,exact_name
12,Three Sisters Stew,133,Olive oil,1,tablespoon,,1 tablespoon olive oil,exact_name
12,Three Sisters Stew,119,Onion,1,count,,"1 medium onion, chopped",exact_name
12,Three Sisters Stew,114,Garlic,2,cloves,,"2 cloves garlic, minced",exact_name
12,Three Sisters Stew,122,Green bell pepper,0.5,count,,"½ medium green or red bell pepper, cut into short, narrow strips",normalized_or_substitute
12,Three Sisters Stew,96,Tomatoes,1,can,425.24,"1 can (14__16 ounces) diced tomatoes, with liquid",exact_name
12,Three Sisters Stew,42,Chickpeas (canned),2,cups,,2 cups cooked or canned pinto beans,normalized_or_substitute
12,Three Sisters Stew,111,Corn,2,cups,,2 cups corn kernels (from 2 large or medium ears),exact_name
12,Three Sisters Stew,121,Chili pepper,1,count,,"1__2 fresh hot chiles, seeded and minced",normalized_or_substitute
12,Three Sisters Stew,110,Cilantro,3,tablespoons,,"3__4 tablespoons fresh cilantro, minced",exact_name
13,Spaghetti and Meatballs,152,Pasta,1,pound,454,1 pound (454 g) dry spaghetti,normalized_or_substitute
13,Spaghetti and Meatballs,164,Ground meat (beef/pork blend),2,pounds,907,2 pounds (907 g) ground chuck,normalized_or_substitute
13,Spaghetti and Meatballs,19,Pork chop,2,pounds,907,2 pounds (907 g) ground pork shoulder,normalized_or_substitute
13,Spaghetti and Meatballs,150,Bread,12,oz,340,12 oz (340 g) seasoned bread crumbs,exact_name
13,Spaghetti and Meatballs,12,Parmesan cheese (dry grated),1,cup,,1 cup (240 ml) grated Parmesan cheese or Romano cheese,exact_name
13,Spaghetti and Meatballs,120,Parsley,0.75,cup,,"¾ cup (180 ml) fresh parsley, minced",exact_name
13,Spaghetti and Meatballs,146,Eggs,4,count,,4 eggs,exact_name
13,Spaghetti and Meatballs,114,Garlic,1,tbsp,,1 ½ tbsp finely-minced garlic,exact_name
13,Spaghetti and Meatballs,133,Olive oil,0,as_needed,,Olive oil,exact_name
13,Spaghetti and Meatballs,114,Garlic,3,cloves,,3 garlic cloves,exact_name
13,Spaghetti and Meatballs,114,Garlic,4,cloves,,"4 cloves garlic, crushed or chopped",exact_name
13,Spaghetti and Meatballs,119,Onion,1,count,,"1 small onion, finely chopped",exact_name
13,Spaghetti and Meatballs,96,Tomatoes,28,oz,794,28 oz (794 g) crushed tomatoes,exact_name
13,Spaghetti and Meatballs,120,Parsley,1,count,,1 handful chopped flat-leaf parsley,exact_name
13,Spaghetti and Meatballs,108,Basil,10,count,,"10 leaves fresh basil, torn or thinly sliced",exact_name
14,Tagliatelle Bake,152,Pasta,500,g,500,500_g (1.1_lb) fresh tagliatelle pasta,exact_name
14,Tagliatelle Bake,133,Olive oil,5,tablespoons,,5 tablespoons olive oil,exact_name
14,Tagliatelle Bake,119,Onion,1,count,,"1 onion, chopped",exact_name
14,Tagliatelle Bake,94,Carrots,0.5,count,,"½ carrot, chopped",normalized_or_substitute
14,Tagliatelle Bake,106,Celery,1,count,,"1 stick of celery, chopped",exact_name
14,Tagliatelle Bake,18,Ground beef,200,g,200,200_g (7.1_oz) minced beef,normalized_or_substitute
14,Tagliatelle Bake,120,Parsley,1,count,,"1 handful of parsley, chopped",exact_name
14,Tagliatelle Bake,96,Tomatoes,400,g,400,400_g (14_oz) tin chopped tomatoes,exact_name
14,Tagliatelle Bake,12,Parmesan cheese (dry grated),1.75,cups,200,1¾ cups (200_g/7.1_oz) grated parmesan cheese,exact_name
14,Tagliatelle Bake,11,Mozzarella cheese (part-skim),200,g,200,200_g (7.1_oz) of mozzarella,normalized_or_substitute
14,Tagliatelle Bake,139,Cooking cream,0.75,cup,,¾ cup (200_ml/6.8_US fl_oz) cream,normalized_or_substitute
14,Tagliatelle Bake,108,Basil,0,as_needed,,A few basil leaves,exact_name
15,Pineapple Teriyaki,153,Rice,2,cups,,2 cups uncooked rice,exact_name
15,Pineapple Teriyaki,133,Olive oil,1,tbsp,,1__2 tbsp vegetable or olive oil,exact_name
15,Pineapple Teriyaki,22,Chicken breast,2,cups,,"2 cups cubed chicken, tofu, or vegetarian ""chicken"" (usually flavored, pressed gluten)",normalized_or_substitute
15,Pineapple Teriyaki,119,Onion,1,count,,"1 yellow or white onion, diced",exact_name
15,Pineapple Teriyaki,122,Green bell pepper,1,count,,"1__2 bell peppers (whatever color(s) you prefer), diced",normalized_or_substitute
15,Pineapple Teriyaki,117,Mushrooms,0,optional,,Some sliced mushrooms (optional),exact_name
15,Pineapple Teriyaki,114,Garlic,1,cloves,,"1__2 cloves garlic (optional), minced, depending upon your teriyaki sauce",exact_name
16,Curry Chicken I,22,Chicken breast,1,count,,1 whole chicken,normalized_or_substitute
16,Curry Chicken I,114,Garlic,4,cloves,,"4 cloves garlic, minced",exact_name
16,Curry Chicken I,121,Chili pepper,2,tsp,,2 tsp red chile powder,normalized_or_substitute
16,Curry Chicken I,4,"Yogurt (whole milk, plain)",150,ml,,150 ml yoghurt,normalized_or_substitute
16,Curry Chicken I,110,Cilantro,20,count,,20 coriander leaves,normalized_or_substitute
16,Curry Chicken I,119,Onion,2,count,,"2 onions, sliced into rings",exact_name
16,Curry Chicken I,121,Chili pepper,2,count,,2__3 green chiles,normalized_or_substitute
16,Curry Chicken I,96,Tomatoes,1,count,,"1 tomato, finely chopped",normalized_or_substitute
16,Curry Chicken I,133,Olive oil,2,tsp,,2 tsp olive oil or sunflower oil,exact_name
16,Curry Chicken I,47,Cashews (unsalted),3,count,,"3 cashews, ground",exact_name
16,Curry Chicken I,156,Coconut milk,100,ml,,100 ml coconut milk or cream (optional),exact_name
17,Tofu in Spiced Coconut Sauce,163,Oil,4,tbsp,,4 tbsp oil,exact_name
17,Tofu in Spiced Coconut Sauce,114,Garlic,1,cloves,,"1__2 garlic cloves, minced",exact_name
17,Tofu in Spiced Coconut Sauce,119,Onion,1,count,,"1__2 large onion, chopped coarsely",exact_name
17,Tofu in Spiced Coconut Sauce,44,Tofu,1,count,,"1 extra-firm or firm tofu block, cut into ¾-inch cubes",exact_name
17,Tofu in Spiced Coconut Sauce,8,Sour cream,0.5,cup,,½ cup sour cream,exact_name
17,Tofu in Spiced Coconut Sauce,4,"Yogurt (whole milk, plain)",0.5,cup,,½ cup 2% plain yogurt,exact_name
17,Tofu in Spiced Coconut Sauce,129,Butter,1,tbsp,,1 tbsp butter (optional),exact_name
17,Tofu in Spiced Coconut Sauce,156,Coconut milk,0.5,cup,,½ cup coconut milk (optional),exact_name
18,Tom Kha Kai,156,Coconut milk,2.5,cups,,2½ cups (600 ml) coconut milk,exact_name
18,Tom Kha Kai,22,Chicken breast,400,g,400,"400 g chicken, cubed",normalized_or_substitute
18,Tom Kha Kai,119,Onion,1,count,,"1 medium onion, quartered",exact_name
18,Tom Kha Kai,96,Tomatoes,1,count,,"1 tomato, quartered and peeled",normalized_or_substitute
18,Tom Kha Kai,117,Mushrooms,1,cup,150,"1 cup (150 g) mushrooms, sliced",exact_name
18,Tom Kha Kai,110,Cilantro,4,tablespoons,,4 tablespoons cilantro,exact_name
19,BBQ Pork Fried Rice,19,Pork chop,1,piece,750,"1 piece (750 g) boneless pork loin, cut into 30 pieces",normalized_or_substitute
19,BBQ Pork Fried Rice,133,Olive oil,6.5,tbsp,,6½ tbsp olive oil,exact_name
19,BBQ Pork Fried Rice,134,Sesame oil,5,tbsp,,5 tbsp sesame oil,exact_name
19,BBQ Pork Fried Rice,114,Garlic,7,cloves,,"7 cloves garlic, minced",exact_name
19,BBQ Pork Fried Rice,118,Green onions,6,pieces,,"6 scallion, cut into 2 cm pieces",normalized_or_substitute
19,BBQ Pork Fried Rice,146,Eggs,4,count,,"4 eggs, mixed",exact_name
19,BBQ Pork Fried Rice,153,Rice,1000,g,1000,1000 g cooked rice,exact_name
19,BBQ Pork Fried Rice,102,Green cabbage,0,as_needed,,Shredded cabbage,normalized_or_substitute
19,BBQ Pork Fried Rice,96,Tomatoes,0,as_needed,,Tomato,normalized_or_substitute
19,BBQ Pork Fried Rice,143,Lettuce,0,as_needed,,Shredded lettuce,exact_name
19,BBQ Pork Fried Rice,146,Eggs,3,garnish,,"3 eggs, cooked into an omelette and sliced 1 cm thick (as garnish)",exact_name
20,Traditional Lasagne,133,Olive oil,2,tbsp,,2 tbsp olive oil,exact_name
20,Traditional Lasagne,119,Onion,1,count,,"1 large onion, finely chopped",exact_name
20,Traditional Lasagne,94,Carrots,2,count,,"2 carrots, finely chopped",exact_name
20,Traditional Lasagne,106,Celery,2,stalks,,"2 celery stalks, finely chopped",exact_name
20,Traditional Lasagne,18,Ground beef,1.5,lb,680,1½ lb (680 g) ground beef,exact_name
20,Traditional Lasagne,114,Garlic,4,cloves,,"4 cloves garlic, minced",exact_name
20,Traditional Lasagne,96,Tomatoes,1,can,800,1 can (28 oz/800 g) crushed tomatoes,exact_name
20,Traditional Lasagne,108,Basil,10,count,,"10__15 basil leaves, chopped or torn",exact_name
20,Traditional Lasagne,152,Pasta,1,count,,1 pack of lasagne pasta sheets,exact_name
20,Traditional Lasagne,12,Parmesan cheese (dry grated),0,as_needed,,Finely-grated parmesan,normalized_or_substitute
21,Chickpea Stew,42,Chickpeas (canned),150,g,150,150 g of dry or 500 g of cooked chickpeas,exact_name
21,Chickpea Stew,119,Onion,2,cups,,2__3 ea. (2__3 cups) chopped medium onions,exact_name
21,Chickpea Stew,127,Zucchini,2,cups,,2__3 cups chopped zucchini,exact_name
21,Chickpea Stew,96,Tomatoes,6,cups,,"6__8 medium tomatoes, chopped, or 2__3 cups of canned tomatoes",exact_name
21,Chickpea Stew,122,Green bell pepper,1,count,,"1 green bell pepper, chopped",exact_name
21,Chickpea Stew,121,Chili pepper,1,count,,"1 chile pepper, finely chopped",normalized_or_substitute
21,Chickpea Stew,114,Garlic,4,cloves,,"4__6 cloves garlic, minced",exact_name
21,Chickpea Stew,161,Peanuts,4,tbsp,,"4 Tbsp crunchy, unsweetened peanut butter",normalized_or_substitute
21,Chickpea Stew,110,Cilantro,2,tbsp,,"2 Tbsp cilantro sprig, finely chopped (optional, for garnish)",exact_name
22,Chicken and Black-eyed Pea Stew,155,Green peas,1,cup,,1 cup of dry black-eyed peas (or about 2 cups canned),normalized_or_substitute
22,Chicken and Black-eyed Pea Stew,163,Oil,2,tbsp,,2__3 tbsp vegetable oil or chicken fat,exact_name
22,Chicken and Black-eyed Pea Stew,119,Onion,2,cups,,2 medium (~2 cups) chopped white or red onions,exact_name
22,Chicken and Black-eyed Pea Stew,94,Carrots,2,cups,,2 ea. (~2 cups) chopped carrots,exact_name
22,Chicken and Black-eyed Pea Stew,106,Celery,1,stalk,,1 stalk (~½__1 cup) chopped celery including the leaves,exact_name
22,Chicken and Black-eyed Pea Stew,114,Garlic,6,cloves,,"6 cloves garlic, minced",exact_name
22,Chicken and Black-eyed Pea Stew,153,Rice,1,cup,,"1 cup uncooked long-grained rice, preferably brown rice",exact_name
22,Chicken and Black-eyed Pea Stew,96,Tomatoes,2,cups,453.59,"2 cups canned tomatoes (crushed or diced), or 1 pound diced fresh tomatoes.",exact_name
22,Chicken and Black-eyed Pea Stew,22,Chicken breast,1,pound,453.59,1 pound bone-in chicken meat (e.g. two chicken legs),normalized_or_substitute
22,Chicken and Black-eyed Pea Stew,121,Chili pepper,2,count,,2 medium to hot chile peppers (optional),normalized_or_substitute
23,Beef and Barley Stew,16,Beef steak,3,pounds,1250,"3 pounds (1.25 kg) beef, cubed",normalized_or_substitute
23,Beef and Barley Stew,119,Onion,1,count,,"1 white onion, diced",exact_name
23,Beef and Barley Stew,145,Potatoes,4,count,,4 cubed potatoes,exact_name
23,Beef and Barley Stew,149,Barley,1,cup,240,1 cup (240 g) barley,exact_name
23,Beef and Barley Stew,154,Flour (all purpose),0.25,cup,60,¼ cup (60 g) flour,exact_name
23,Beef and Barley Stew,96,Tomatoes,1,can,,1 small can diced tomatoes,exact_name
